time	V(vout)
4.102472498058521e-004	2.154859e+000
4.122472498058524e-004	2.514663e+000
4.142472498058526e-004	2.834597e+000
4.162472498058529e-004	3.109607e+000
4.182472498058532e-004	3.335328e+000
4.202472498058534e-004	3.508197e+000
4.222472498058537e-004	3.625482e+000
4.242472498058540e-004	3.685560e+000
4.262200403855592e-004	3.687479e+000
4.282200403855595e-004	3.631304e+000
4.302200403855597e-004	3.517944e+000
4.322200403855600e-004	3.349061e+000
4.342200403855603e-004	3.127403e+000
4.362200403855605e-004	2.856569e+000
4.382200403855608e-004	2.540945e+000
4.402200403855611e-004	2.185634e+000
4.422200403855613e-004	1.796391e+000
4.442200403855616e-004	1.379565e+000
4.462200403855619e-004	9.420794e-001
4.482200403855621e-004	4.924684e-001
4.495852530018527e-004	1.842419e-001
4.498828892772512e-004	1.191514e-001
4.500826101757338e-004	7.752138e-002
4.502434255090893e-004	4.647487e-002
4.503542418132257e-004	2.753775e-002
4.504488367275180e-004	1.386758e-002
4.505199250396108e-004	5.445330e-003
4.505813529420387e-004	-6.089643e-004
4.506378528662067e-004	-5.823488e-003
4.506922424864293e-004	-1.170436e-002
4.507494062937559e-004	-2.224775e-002
4.507761611077833e-004	-3.906099e-002
4.507938781824501e-004	-6.873625e-002
4.508161478072991e-004	-1.221391e-001
4.508266077160317e-004	-1.425617e-001
4.508415022096979e-004	-1.602210e-001
4.508569247669760e-004	-1.712854e-001
4.508766372831232e-004	-1.788060e-001
4.509048459199125e-004	-1.839777e-001
4.509399741610565e-004	-1.871303e-001
4.509914540001062e-004	-1.906749e-001
4.510587557978660e-004	-1.966485e-001
4.511625971960927e-004	-2.094847e-001
4.513116668991932e-004	-2.344109e-001
4.515595798638954e-004	-2.859385e-001
4.519446120763368e-004	-3.740207e-001
4.525622957766186e-004	-5.177759e-001
4.531987413027086e-004	-6.647677e-001
4.544716323548886e-004	-9.536328e-001
4.564716323548889e-004	-1.393747e+000
4.584716323548892e-004	-1.812482e+000
4.604716323548894e-004	-2.202119e+000
4.624716323548897e-004	-2.556754e+000
4.644716323548900e-004	-2.871050e+000
4.664716323548902e-004	-3.140306e+000
4.684716323548905e-004	-3.360515e+000
4.704716323548908e-004	-3.528405e+000
4.724716323548910e-004	-3.641440e+000
4.744716323548913e-004	-3.699069e+000
4.763035545593593e-004	-3.700197e+000
4.783035545593596e-004	-3.644813e+000
4.803035545593599e-004	-3.533409e+000
4.823035545593601e-004	-3.366193e+000
4.843035545593604e-004	-3.145497e+000
4.863035545593607e-004	-2.874556e+000
4.883035545593609e-004	-2.557481e+000
4.903035545593612e-004	-2.199212e+000
4.923035545593615e-004	-1.805474e+000
4.943035545593617e-004	-1.382654e+000
4.963035545593620e-004	-9.382378e-001
4.983035545593623e-004	-4.815593e-001
5.000000000000004e-004	-9.050501e-002
